Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot57,"ColonelPeePantz",normal,19,Failed,"Signal - Part 3","Zone place_SIGNAL_03_2","1","01:23:42","01:31:57",
Bot57,"ColonelPeePantz",normal,19,Failed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","01:32:02","01:33:14",
Bot58,"LuckyCharmT",normal,22,Completed,"Spa Tour - Part 5","Item Key to the closed premises of the Health Resort","1","01:23:42","01:34:30",
Bot58,"LuckyCharmT",normal,22,Failed,"Cargo X - Part 1","Item Toughbook reinforced laptop","1","01:34:35","01:38:40",
Bot58,"LuckyCharmT",normal,22,Pending,"Signal - Part 1","Zone place_SIGNAL_01_1","1","01:38:45","N/A",
Bot58,"LuckyCharmT",normal,22,Active,"Signal - Part 1","Zone place_SIGNAL_01_2","1","01:39:49","N/A",
Bot60,"LunnayaLuna",normal,26,Pending,"The Cult - Part 1","Zone place_peacemaker_007_1_N1","1","01:23:44","N/A",
Bot59,"MusicManiac",normal,19,Completed,"Boss Hunter","Spawn Point (-87.9 -42.4 272.3)","1","01:23:44","01:29:12",
Bot59,"MusicManiac",normal,19,Completed,"Boss Hunter","Spawn Point (-96.8 -41.0 211.6)","1","01:29:17","01:29:45",
Bot59,"MusicManiac",normal,19,Failed,"Boss Hunter","Spawn Point (-220.9 -29.8 189.5)","1","01:29:50","01:31:46",
Bot59,"MusicManiac",normal,19,Completed,"Boss Hunter","Spawn Point (-106.0 -40.1 245.0)","1","01:31:51","01:34:23",
Bot59,"MusicManiac",normal,19,Failed,"Scrap Metal","Zone place_peacemaker_003_N3","1","01:34:28","01:39:18",
Bot59,"MusicManiac",normal,19,Active,"Wet Job - Part 5","Item Working hard drive","1","01:39:23","N/A",
